name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,10:40,13:30,INR429,27Seats available,4.525
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,10:45,13:45,INR429,35Seats available,4.124
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,11:00,14:00,INR429,26Seats available,4.618
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,11:40,14:30,INR429,41Seats available,4.914
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,12:05,14:55,INR429,17Seats available,3.8
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,10:40,13:30,INR429,27Seats available,4.525
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,10:45,13:45,INR429,35Seats available,4.124
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,11:00,14:00,INR429,26Seats available,4.618
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,11:40,14:30,INR429,41Seats available,4.914
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,12:05,14:55,INR429,17Seats available,3.8
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,03h 00m,12:30,15:30,INR429,31Seats available,4.46
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,13:00,15:50,INR429,31Seats available,3.716
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 45m,13:45,16:30,INR429,35Seats available,4.559
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,14:05,16:45,INR429,23Seats available,4.231
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,14:10,17:10,INR429,20Seats available,3.59
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,10:40,13:30,INR429,27Seats available,4.525
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,10:45,13:45,INR429,35Seats available,4.124
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,11:00,14:00,INR429,26Seats available,4.618
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,11:40,14:30,INR429,41Seats available,4.914
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,12:05,14:55,INR429,17Seats available,3.8
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,03h 00m,12:30,15:30,INR429,31Seats available,4.46
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,13:00,15:50,INR429,31Seats available,3.716
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 45m,13:45,16:30,INR429,35Seats available,4.559
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,14:05,16:45,INR429,23Seats available,4.231
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,14:10,17:10,INR429,20Seats available,3.59
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 55m,14:25,17:20,INR429,31Seats available,4.710
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,14:55,17:45,INR429,29Seats available,4.557
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,15:20,18:10,INR429,32Seats available,4.764
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,15:20,18:00,INR429,35Seats available,3.941
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,16:00,18:50,INR429,29Seats available,4.719
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,10:40,13:30,INR429,27Seats available,4.525
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,10:45,13:45,INR429,35Seats available,4.124
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,11:00,14:00,INR429,26Seats available,4.618
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,11:40,14:30,INR429,41Seats available,4.914
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,12:05,14:55,INR429,17Seats available,3.8
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,03h 00m,12:30,15:30,INR429,31Seats available,4.46
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,13:00,15:50,INR429,31Seats available,3.716
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 45m,13:45,16:30,INR429,35Seats available,4.559
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,14:05,16:45,INR429,23Seats available,4.231
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,14:10,17:10,INR429,20Seats available,3.59
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 55m,14:25,17:20,INR429,31Seats available,4.710
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,14:55,17:45,INR429,29Seats available,4.557
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,15:20,18:10,INR429,32Seats available,4.764
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,15:20,18:00,INR429,35Seats available,3.941
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,16:00,18:50,INR429,29Seats available,4.719
Express Line,1-Burdwan to Kolkata,Bus Stand,Esplanade,02h 50m,16:10,19:00,INR429,45Seats available,4.534
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,16:30,19:20,INR429,35Seats available,4.227
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,16:40,19:30,INR429,26Seats available,4.438
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,17:00,19:50,INR429,31Seats available,3.514
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,17:00,20:00,INR429,39Seats available,3.889
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,10:40,13:30,INR429,27Seats available,4.525
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,10:45,13:45,INR429,35Seats available,4.124
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,11:00,14:00,INR429,26Seats available,4.618
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,11:40,14:30,INR429,41Seats available,4.914
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,12:05,14:55,INR429,17Seats available,3.8
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,03h 00m,12:30,15:30,INR429,31Seats available,4.46
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,13:00,15:50,INR429,31Seats available,3.716
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 45m,13:45,16:30,INR429,35Seats available,4.559
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,14:05,16:45,INR429,23Seats available,4.231
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,14:10,17:10,INR429,20Seats available,3.59
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 55m,14:25,17:20,INR429,31Seats available,4.710
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,14:55,17:45,INR429,29Seats available,4.557
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,15:20,18:10,INR429,32Seats available,4.764
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,15:20,18:00,INR429,35Seats available,3.941
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,16:00,18:50,INR429,29Seats available,4.719
Express Line,1-Burdwan to Kolkata,Bus Stand,Esplanade,02h 50m,16:10,19:00,INR429,45Seats available,4.534
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,16:30,19:20,INR429,35Seats available,4.227
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,16:40,19:30,INR429,26Seats available,4.438
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,17:00,19:50,INR429,31Seats available,3.514
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,17:00,20:00,INR429,39Seats available,3.889
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 55m,17:30,20:25,INR429,29Seats available,4.837
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,17:40,20:30,INR429,35Seats available,3.538
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,17:45,20:45,INR429,32Seats available,3.431
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,18:10,21:00,INR429,31Seats available,3.34
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,18:30,21:20,INR429,28Seats available,3.214
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,09:45,12:45,INR429,29Seats available,4.123
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,10:40,13:30,INR429,27Seats available,4.525
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,10:45,13:45,INR429,35Seats available,4.124
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,11:00,14:00,INR429,26Seats available,4.618
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,11:40,14:30,INR429,41Seats available,4.914
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,12:05,14:55,INR429,17Seats available,3.8
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,03h 00m,12:30,15:30,INR429,31Seats available,4.46
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,13:00,15:50,INR429,31Seats available,3.716
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 45m,13:45,16:30,INR429,35Seats available,4.559
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,14:05,16:45,INR429,23Seats available,4.231
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,14:10,17:10,INR429,20Seats available,3.59
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 55m,14:25,17:20,INR429,31Seats available,4.710
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,14:55,17:45,INR429,29Seats available,4.557
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,15:20,18:10,INR429,32Seats available,4.764
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 40m,15:20,18:00,INR429,35Seats available,3.941
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,16:00,18:50,INR429,29Seats available,4.719
Express Line,1-Burdwan to Kolkata,Bus Stand,Esplanade,02h 50m,16:10,19:00,INR429,45Seats available,4.534
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,16:30,19:20,INR429,35Seats available,4.227
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,16:40,19:30,INR429,26Seats available,4.438
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,17:00,19:50,INR429,31Seats available,3.514
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,17:00,20:00,INR429,39Seats available,3.889
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 55m,17:30,20:25,INR429,29Seats available,4.837
Shyamoli Paribahan Pvt Ltd,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,02h 50m,17:40,20:30,INR429,35Seats available,3.538
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,03h 00m,17:45,20:45,INR429,32Seats available,3.431
Greenline,1-Burdwan to Kolkata,Nababhat,Esplanade,02h 50m,18:10,21:00,INR429,31Seats available,3.34
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,02h 50m,18:30,21:20,INR429,28Seats available,3.214
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 40m,18:55,21:35,INR429,37Seats available,3.738
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Dunlop,03h 10m,19:40,22:50,INR429,38Seats available,4.018
Suman sabir,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 40m,06:40,09:20,INR111,54Seats available,1.2
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 55m,12:05,15:00,INR429,18Seats available,2.924
Suman sabir,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 45m,13:15,16:00,INR111,54Seats available,1.2
Royal Cruiser,1-Burdwan to Kolkata,Burdwan (Nawabhat,Esplanade,03h 00m,03:00,06:00,380,8Seats available,3.7
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:00,09:20,INR429,32Seats available,3.26
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 05m,07:15,09:20,INR429,41Seats available,4.18
Greenline,1-Burdwan to Kolkata,Nababhut Bus Stand,Esplanade,02h 10m,07:35,09:45,INR429,31Seats available,4.620
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 20m,07:40,10:00,INR429,23Seats available,3.443
Express Line,1-Burdwan to Kolkata,Nawabab Hat,Esplanade,01h 55m,08:05,10:00,INR429,35Seats available,4.439
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 15m,08:25,10:40,INR429,13Seats available,3.136
Greenline (Karunamoyee),1-Burdwan to Kolkata,Nababhat,Karunamoyee,03h 00m,08:50,11:50,INR429,22Seats available,4.811
Express Line (Karunamoyee),1-Burdwan to Kolkata,Nawabab Hat,Karunamoyee,02h 50m,09:40,12:30,INR429,36Seats available,4.513
