name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,08:40,13:15,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,03h 55m,09:00,12:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,10:50,15:20,INR500,28Seats available,1.44
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 30m,12:30,17:00,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 35m,14:00,18:35,INR500,28Seats available,New
APSARA BUS SERVICE,1-Gangtok to Siliguri,Deorali Bus Stand,Tenzing Norgay Bus Terminus,04h 05m,15:30,19:35,INR500,28Seats available,New
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Sikkim Nationalised Transport (SNT)  - 174307,1-Siliguri to Gangtok,SNT Bus Stand Siliguri,SNT bus stand,08h 00m,10:30,18:30,INR910,11Seats available,3.032
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,05:00,08:55,INR500,28Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,06:40,10:35,INR500,16Seats available,New
APSARA BUS SERVICE,1-Siliguri to Gangtok,Tenzing Norgay Bus Terminus,Deorali Bus Stand,03h 55m,07:00,10:55,INR400,17Seats available,New
