name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 50m,22:50,07:40,759,44Seats available,4.2281
Zingbus Plus,1-Delhi to Shimla,Majnu Ka Tilla,Bypass Crossing,09h 15m,22:55,08:10,525,30Seats available,4.3457
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,08h 40m,23:55,08:35,INR743,24Seats available,3.315
FlixBus,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla (bypass MC car parking,09h 00m,07:00,16:00,INR678,30Seats available,3.512
RAO TRAVELS INDIA PVT LTD.,1-Delhi to Shimla,Vasant Vihar Rao Tula Ram Marg,Shimla,10h 30m,21:00,07:30,INR1500,33Seats available,1.939
Heera Himachal Holidays,1-Delhi to Shimla,RK Ashram,Victory Tunnel Shimla,09h 00m,21:30,06:30,INR1399,22Seats available,1.77
PAL Travel Lines,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 05m,22:55,07:00,1799,24Seats available,2.9
FlixBus,1-Delhi to Shimla,Majnu Ka Tilla,Shimla (bypass MC car parking,08h 25m,00:10,08:35,INR891,28Seats available,3.4
RSRTC  - 192344,1-Delhi to Shimla,DELHI,SHIMLA,11h 00m,03:00,14:00,INR1103,27Seats available,3.6
Bedi Travels,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By-Pass Crossing,09h 00m,23:00,08:00,495,28Seats available,4.7659
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 20m,23:25,07:45,759,34Seats available,4.5659
Ram Dalal Holidays,1-Delhi to Shimla,Majnu Ka Tilla,Shimla,08h 10m,23:30,07:40,738,38Seats available,4.5591
Laxmi holidays,1-Delhi to Shimla,ISBT Kashmiri Gate,Shimla By pass Mc Car Parking,08h 30m,23:30,08:00,854,53Seats available,4.4821
