name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 00m,04:30,09:30,361,5Seats available,4.2118
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,06h 00m,10:00,16:00,INR400,22Seats available,4.5210
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 15m,11:30,16:45,INR380,30Seats available,4.1109
KAAC TRANSPORT  - 157249,1-Diphu to Guwahati,Diphu Bus Stand,ISBT Guwahati,05h 30m,04:00,09:30,361,7Seats available,4.3112
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 00m,04:30,09:30,361,5Seats available,4.2118
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,06h 00m,10:00,16:00,INR400,22Seats available,4.5210
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 15m,11:30,16:45,INR380,30Seats available,4.1109
KAAC TRANSPORT  - 157249,1-Diphu to Guwahati,Diphu Bus Stand,ISBT Guwahati,05h 30m,04:00,09:30,361,7Seats available,4.3112
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 00m,04:30,09:30,361,5Seats available,4.2118
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,06h 00m,10:00,16:00,INR400,22Seats available,4.5210
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 15m,11:30,16:45,INR380,30Seats available,4.1109
KAAC TRANSPORT  - 157249,1-Diphu to Guwahati,Diphu Bus Stand,ISBT Guwahati,05h 30m,04:00,09:30,361,7Seats available,4.3112
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 00m,04:30,09:30,361,5Seats available,4.2118
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,06h 00m,10:00,16:00,INR400,22Seats available,4.5210
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 15m,11:30,16:45,INR380,30Seats available,4.1109
KAAC TRANSPORT  - 157249,1-Diphu to Guwahati,Diphu Bus Stand,ISBT Guwahati,05h 30m,04:00,09:30,361,7Seats available,4.3112
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 00m,04:30,09:30,361,5Seats available,4.2118
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,06h 00m,10:00,16:00,INR400,22Seats available,4.5210
Kareng Travels,1-Diphu to Guwahati,Diphu Bus Stand,Khanapara,05h 15m,11:30,16:45,INR380,30Seats available,4.1109
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
